date	text	rating	aspects	sentiment	aspects_pretty	entities	person	geopolitical area	date	cardinal number	quantity	group	event	money	percent	organization	time	ordinal number	location	product	work of art	facility
2021-12-20	Ёлка классная! Пришла с небольшой задержкой, но это страшно.! Имеется небольшой запах. Всё целое.	star5	['Ёлка']	['Positive']	Ёлка	[]																
2021-12-20	Подставка есть пластмассовая,верхушка легко вставляется в нижнюю часть,немного имеется наклон на одну сторону у ели (не ровная подставка) и высота 180 см,а не заявленные 195.Все иголки и ветки литые,ствол обмотан ПВХ пленкой,но ее практически не видно.Иголки при распушении ели не осыпаются.Макушка сделана из одной хлипкой веточки,присоединенной к толстому стволу-не держит веточка звезду,а на ствол  большой его диаметр не позволяет надеть звезду.Имеется лёгкий запах при распаковке,в комнате при сборке не так ощущался (может из-за того,что привыкли к нему).Нижняя половина ели очень густая- добротная,верхняя-в половину реже смотрится,что удешевляет визуально ель и делают ее немного несемметричной.Думаю наличие гирлянды и игрушек исправит данную ситуацию...	star5	[]	[]		[{'text': 'одну', 'start': 96, 'end': 101, 'tokens': ['▁одну'], 'names': ['B-cardinal number'], 'filled': {'cardinal number'}}, {'text': '180 см,а', 'start': 146, 'end': 155, 'tokens': ['▁180', '▁см', ',', 'а'], 'names': ['B-quantity', 'I-quantity', 'O', 'O'], 'filled': {'quantity'}}, {'text': '195.Все', 'start': 169, 'end': 177, 'tokens': ['▁195', '.', 'Все'], 'names': ['B-quantity', 'O', 'O'], 'filled': {'quantity'}}, {'text': 'одной', 'start': 309, 'end': 315, 'tokens': ['▁одной'], 'names': ['B-cardinal number'], 'filled': {'cardinal number'}}]				['одну', 'одной']	['180 см,а', '195.Все']											
2021-12-20	Елка как настоящая, даже на ощупь с трудом от настоящей можно отличить. Только запах небольшой выдаёт искусственное происхождение. В целом очень довольны, спасибо за качественный  товар.	star5	['Елка', 'товар']	['Positive', 'Positive']	Елка, товар	[]																
2021-12-20	Ёлочка прекрасна!!! Не колючая, выглядит достойно. Был лёгкий запах, быстро ушел. Благодарю за приятные впечатления!!! Всем доброго Нового года!!!)	star5	['Ёлочка']	['Positive']	Ёлочка	[{'text': 'Нового', 'start': 131, 'end': 138, 'tokens': ['▁Ново', 'го'], 'names': ['B-event', 'I-event'], 'filled': {'event'}}]							['Нового']									
2021-12-20	Ёлочка просто отличная! Пышная, красивая! Цена привлекательная очень!	star5	['Ёлочка', 'Цена']	['Positive', 'Positive']	Ёлочка, Цена	[]																
2021-12-19	Очень хорошая,о такой и мечтала.Она действительно как живая.Как многие уже писали,фото не передаёт ее красоты😍Была заминка в оформлении,но дождались.	star5	[]	[]		[]																
2021-12-19	Очень красивая ёлочка!!! Запаха нет! Цена тоже удивила!	star5	['ёлочка', 'Цена']	['Positive', 'Positive']	ёлочка, Цена	[]																
2021-12-19	Ёлочка замечательная. О покупке не пожалели. Была небольшая задержка в доставке из-за предновогодних праздников. 	star5	['Ёлочка', 'доставке']	['Positive', 'Negative']	Ёлочка, доставке	[{'text': 'предновогодних', 'start': 85, 'end': 100, 'tokens': ['▁пред', 'ново', 'год', 'них'], 'names': ['B-date', 'I-date', 'I-date', 'O'], 'filled': {'date'}}]			['предновогодних']													
2021-12-19	Замечательная ёлочка! Семья в восторге!	star5	['ёлочка']	['Positive']	ёлочка	[]																
2021-12-19	Ёлочка просто супер! Очень понравилась смотрится как настоящая. Фото не передаёт её красоту!!!	star5	['Ёлочка']	['Positive']	Ёлочка	[]																
2021-12-19	Очень красивая ёлочка! Как настоящая! Дети в восторге! Спасибо производителю!	star5	['ёлочка', 'производителю']	['Positive', 'Positive']	ёлочка, производителю	[]																
2021-12-19	В целом елка хорошая, не сыпется, не пахнет пластиком, описанию соответствует. Но, две части ствола сильно отличаются по диаметру, в следствии верхняя часть болтается	star3	['елка', 'ствола']	['Positive', 'Negative']	елка, ствола	[{'text': 'две', 'start': 82, 'end': 86, 'tokens': ['▁две'], 'names': ['B-cardinal number'], 'filled': {'cardinal number'}}]				['две']												
2021-12-18	Здравствуйте.Спасибо большое вам за ёлочку!🌲 выглядит очень реалистично на 💯.Цена супер,и качество, только литые веточки🔥.Все детали целые,коробка немного вскрыта,видимо ствол металлический выдавил,но это ерунда.Мы очень рады что у вас купили её.Поздравляем вас с наступающим новым годом!	star5	['коробка']	['Neutral']	коробка	[{'text': 'новым', 'start': 275, 'end': 281, 'tokens': ['▁новым'], 'names': ['I-date'], 'filled': {'date'}}]			['новым']													
2021-12-18	Ёлка супер!!! Соответствует описанию. Отзывы правдивые) Очень качественно сделана ёлка. Прям как настоящая! Очень рады и довольны покупкой. Ожидания полностью оправданы! Спасибо!	star5	['Ёлка']	['Positive']	Ёлка	[]																
2021-12-18	Классная, большая, пушистая красавица 😍 Дети в восторге!!!	star5	['красавица']	['Positive']	красавица	[]																
2021-12-18	Большая, пушистая, все веточки на месте, стойка целая)	star5	['веточки', 'стойка']	['Positive', 'Positive']	веточки, стойка	[]																
2021-12-18	Елка супер!	star5	['Елка']	['Positive']	Елка	[{'text': 'Елка', 'start': 0, 'end': 4, 'tokens': ['▁Ел', 'ка'], 'names': ['B-person', 'O'], 'filled': {'person'}}]	['Елка']															
2021-12-18	елка красивая, но подставка совсем хрупкая. пока ветки распрямляли сломалась, хорошо от старой ёлки осталась...	star4	['елка', 'подставка']	['Positive', 'Negative']	елка, подставка	[]																
2021-12-17	Елка очень красивая!!!! Как живая🥰🥰🥰 Сняла звезду за то, что пришла в рванной коробке и без подставки 😢😢😢😢, СОВСЕМ БЕЗ ПОДСТАВКИ!!!!! До этого читала в отзывах, что подставки приходили поломанные, а у нас нет никакой!!!! Возвращать очень жалко, дети ждали эту елку, она очень красивая, и цена просто 🔥🔥🔥 ( мы взяли за 7803,00). Спасибо муж примудрил туда старую подставку от живой елки, но она не очень прочно держит 🥺🥺🥺🥺 В общем елка красивая, но впечатление от покупки испорчено 🤷🏼‍♀️🤷🏼‍♀️🤷🏼‍♀️🤷🏼‍♀️. Хотелось бы получить «родную» подставку. Как это сделать????	star4	[]	[]		[{'text': '7803,00).', 'start': 317, 'end': 327, 'tokens': ['▁', '780', '3,00', ').'], 'names': ['B-money', 'B-money', 'I-money', 'O'], 'filled': {'money'}}]								['7803,00).']								
2021-12-16	Отличная ёлка 👍	star5	['ёлка']	['Positive']	ёлка	[]																
2021-12-16	Ёлка очень красивая, фото не передаёт красоту,  как настоящая. Спасибо продавцу	star5	['Ёлка']	['Positive']	Ёлка	[]																
2021-12-16	Елочка понравилась! Подставка прочная, но в месте стыковки верхнего яруса мне так и не удалось вставить штырь доконца. Но на елке это не отразилось, не шатается, не кривится. Иголки не колючие, мягкие. Покупкой довольна.	star5	['Елочка', 'Подставка', 'Иголки']	['Positive', 'Positive', 'Positive']	Елочка, Подставка, Иголки	[]																
2021-12-16	Ёлка классная. Веточки все литые	star5	['Ёлка', 'Веточки']	['Positive', 'Positive']	Ёлка, Веточки	[]																
2021-12-16	Ёлка супер!!! Своих денег стоит. (брали за 8 тыс с небольшим). В меру пушистая, веточки полностью литые, только на стволе пвх. Собирается очень легко. Смотрится как настоящая😍 Большое спасибо производителю! 	star5	['Ёлка']	['Positive']	Ёлка	[{'text': '8 тыс', 'start': 42, 'end': 48, 'tokens': ['▁8', '▁тыс'], 'names': ['B-money', 'I-money'], 'filled': {'money'}}]								['8 тыс']								
2021-12-15	Ёлочка хорошего качества за такие деньги.	star5	['Ёлочка']	['Positive']	Ёлочка	[]																
2021-12-15	Нет товара на складе!!!	star1	[]	[]		[]																
2021-12-14	Наконец -то пришла моя елочка, почитала комментарии и очень переживала, что отменят заказ или будет очень долгая доставка. В итоге все хорошо. Пришла на день раньше, чем обещали. Елка хорошая, очень похожа на живую, в меру пушистая, не колючая,веточки все литые, есть немного запах, но не критично.  Цена приемлемая. Покупкой довольны. 	star5	['елочка', 'доставка', 'Елка']	['Positive', 'Positive', 'Neutral']	елочка, доставка, Елка	[]																
2021-12-14	Ёлка хорошая. Рекомендую к покупке. Сняла звезду за то что немного шатается и высота 180.	star4	['Ёлка']	['Positive']	Ёлка	[]																
2021-12-14	Ёлка просто шикарная!!! Цвет насыщенный! Собирается очень легко! Покупкой довольны!!!	star5	['Ёлка', 'Цвет']	['Positive', 'Positive']	Ёлка, Цвет	[]																
2021-12-14	Елочка шикарная. Рекомендую.	star5	['Елочка']	['Positive']	Елочка	[{'text': 'Елочка', 'start': 0, 'end': 6, 'tokens': ['▁Ел', 'очка'], 'names': ['B-person', 'O'], 'filled': {'person'}}]	['Елочка']															
2021-12-13	"Ёлку приобретала для родственников. Надо сказать, они немного привередливые ребята.
И то, что они в восторге от ёлки, говорит о многом!
."	star5	[]	[]		[]																
2021-12-13	Елочка замечательная, пушистая и похожа на настоящую, запах минимальный, на балконе выветрился , собирается легко , ствола не видно, места занимает не много, очень аккуратная	star5	['Елочка']	['Positive']	Елочка	[]																
2022-08-20	Слушайте, эта елка - лучшая в мире ёлок! Именно эта модель. Заказывать сомневалась, но в реале она живая. Будем брать еще одну повыше. Фото не размещаю, потому что другие отзывы есть с фото, она темно зеленая и края веток посветлее и другая пластмасса -  молодая хвоя с светло-коричневым как веточки, это обалденная елка.	star5	[]	[]		[]																
2022-08-13	Дождалась скидку и сразу заказала. И не пожалела. Доставка быстрая, упакована аккуратно в две коробки. Ну очень красивая, а какая красота будет когда украсим еë. Спасибо производителю и WB.	star5	['Доставка']	['Positive']	Доставка	[{'text': 'две', 'start': 89, 'end': 93, 'tokens': ['▁две'], 'names': ['B-cardinal number'], 'filled': {'cardinal number'}}]				['две']												
2022-07-26	Хорошая качественная ель. Отличное сочетание цена/качество. Натуральность ели придает внешняя хвоя, очень похожая на живую, а внутренняя пушистая хвоя придает объем и пышность. Сама ель состоит из нескольких частей, в коробке была инструкция, поэтому со сборкой проблем не было. Ель ничем не пахнет, безопасна для детей. Сейчас у продавца хорошие скидки, поэтому рекомендую к покупке данную ёлку!	star5	['ель', 'хвоя']	['Positive', 'Positive']	ель, хвоя	[]																
2022-06-23	Елка оказалась очень хорошей. Собрал быстро, запаха нет, осыпалось совсем немного. Густая и объемная. Как и сказано в описании- два вида хвои. Покупкой доволен. 	star5	['Елка']	['Positive']	Елка	[{'text': 'два', 'start': 127, 'end': 131, 'tokens': ['▁два'], 'names': ['B-cardinal number'], 'filled': {'cardinal number'}}]				['два']												
2022-08-13	Ёлочка - красавица. Если получше расправить веточки, будет ещё лучше. Запах практически отсутствует. Коробка почти не повреждена, внутри сертификат и инструкция. Жду декабря 🎄). Спасибо. 👍	star5	['Ёлочка', 'веточки', 'Коробка']	['Positive', 'Positive', 'Positive']	Ёлочка, веточки, Коробка	[{'text': 'декабря', 'start': 165, 'end': 173, 'tokens': ['▁декабря'], 'names': ['B-date'], 'filled': {'date'}}]			['декабря']													
2022-07-12	Ёлочка супер. Все веточки литые как на фото. Запаха нет. Пушистая. Коробка без повреждений. Инструкция есть. Собрали быстро без проблем. Спасибо большое.	star5	['Ёлочка', 'веточки', 'Коробка']	['Positive', 'Positive', 'Positive']	Ёлочка, веточки, Коробка	[]																
2021-11-13	Ёлочка красивая. Как будто только занесли с улицы живую елку. Красивый цвет. Иголки мягкие. Запаха нет. Но расстроилась, что коробка вся порваная. Как в ней ёлочку хранить?	star5	['Ёлочка', 'цвет', 'Иголки', 'коробка']	['Positive', 'Positive', 'Positive', 'Negative']	Ёлочка, цвет, Иголки, коробка	[]																
2022-07-17	Пришло все целое, ёлка состоит из двух частей и подставки. Цвет как у настоящей. Супер!	star5	['Цвет']	['Positive']	Цвет	[{'text': 'двух', 'start': 33, 'end': 38, 'tokens': ['▁двух'], 'names': ['B-cardinal number'], 'filled': {'cardinal number'}}]				['двух']												
2022-06-14	Проучили ёлку! Как хорошо, что внутри она спрятана в ещё одну коробку. Проблем с хранением не будет. Собирать рано конечно)  Визуально осмотрели, все супер! Ждём повод собрать и нарядить. 	star5	['ёлку']	['Positive']	ёлку	[]																
2022-03-27	Отличное качество	star5	['качество']	['Positive']	качество	[]																
2022-01-20	Ёлка хорошая. Очень похожа на натуральную. Но её ветки слабые, стеклянные игрушки тяжеловаты для них. Пришлось игрушки вешать на ветках у их основания, иначе ветки прогибаются под тяжестью .	star4	['Ёлка', 'ветки']	['Positive', 'Negative']	Ёлка, ветки	[]																
2022-01-06	Очень хорошая, качественная ёлочка	star5	['ёлочка']	['Positive']	ёлочка	[]																
2022-01-03	Посылка пришла быстро, хорошо упакована, ёлочка пышная верхняя часть чуть шатается, одно огорчает что одна веточка лысая	star4	['Посылка', 'ёлочка', 'веточка']	['Positive', 'Positive', 'Negative']	Посылка, ёлочка, веточка	[]																
2021-12-28	Сама ёлка пришла в нормальном состоянии,но!поломана в дребезги подставка под ёлку!!!потеряли время пока ждали,буду брать настоящую ёлку в лесхозе ))))))	star1	['ёлка', 'подставка под ёлку']	['Neutral', 'Negative']	ёлка, подставка под ёлку	[]																
2021-12-27	Просто красавица!!!🎄 Пушистая, веточки как у живой ёлки. Очень довольны покупкой!!! ❤️	star5	['ц', 'ё']	['Positive', 'Positive']	ц, ё	[]																
2021-12-26	Елка просто 🔥🔥🔥 будто живая 💥 купили за 3200👍	star5	['Елка']	['Negative']	Елка	[]																
2021-12-25	Очень хорошо. Быстрая доставка, имитация полная как настоящая	star5	['доставка']	['Positive']	доставка	[]																
2021-12-24	Очень красивая! Именно такую и хотела!	star5	[]	[]		[]																
2021-12-23	Очень хотелось елку к новому году, ужасно расстроилась, так как при осмотре в пункте выдачи увидела, что основание сломано, возможно на фото это не очень видно, но либо кто то его сломал при установке либо при транспортировке,настроение испорчено и главное заказать новую уже невозможно, так как их нет в наличии	star1	['основание']	['Negative']	основание	[{'text': 'новому году,', 'start': 21, 'end': 34, 'tokens': ['▁новому', '▁году', ','], 'names': ['I-date', 'I-date', 'O'], 'filled': {'date'}}]			['новому году,']													
2021-12-22	Елка суппер! Отдельное спасибо за упаковку,две коробки,инструкция по сборке. Если не знать что елка искуственная,никто и не догадается,как будто из леса! Спасибо. Вы молодцы!	star5	['Елка', 'упаковку', 'инструкция по сборке']	['Positive', 'Positive', 'Positive']	Елка, упаковку, инструкция по сборке	[{'text': 'Елка', 'start': 0, 'end': 4, 'tokens': ['▁Ел', 'ка'], 'names': ['B-person', 'O'], 'filled': {'person'}}, {'text': 'упаковку,две', 'start': 33, 'end': 46, 'tokens': ['▁у', 'па', 'ков', 'ку', ',', 'д', 'ве'], 'names': ['O', 'O', 'O', 'O', 'O', 'B-cardinal number', 'B-cardinal number'], 'filled': {'cardinal number'}}]	['Елка']			['упаковку,две']												
2021-12-21	Огромное вам спасибо за испорченное настроение и ёлку с браком!!! Так долго я ждала пока она появится, успела её быстро заказать, а она пришла с дефектом 😢, у неё верхняя часть конструкции не держится плотно в нижней части, и болтается 😢, хорошо, что на месте проверила все. Большое спасибо ещё раз!	star1	['ёлку', 'верхняя часть конструкции']	['Negative', 'Negative']	ёлку, верхняя часть конструкции	[]																
2021-12-21	Елка как настоящая, очень красивая, тем более и цена норм. Спасибо WB за ёлочку.	star5	['Елка', 'цена']	['Positive', 'Positive']	Елка, цена	[{'text': 'Елка', 'start': 0, 'end': 4, 'tokens': ['▁Ел', 'ка'], 'names': ['B-person', 'O'], 'filled': {'person'}}, {'text': 'WB', 'start': 66, 'end': 69, 'tokens': ['▁', 'WB'], 'names': ['B-person', 'B-person'], 'filled': {'person'}}]	['Елка', 'WB']															
2021-12-21	Шикарная елочка, чуть - чуть осыпалась, прям штук 10. Без запаха, как настоящая на вид! Очень довольна 😌 рекомендую!!!	star5	['елочка']	['Positive']	елочка	[{'text': '10.', 'start': 49, 'end': 53, 'tokens': ['▁10.'], 'names': ['B-cardinal number'], 'filled': {'cardinal number'}}]				['10.']												
2021-12-20	Нам безумно понравилась эта елочка. Самое то,что подходит для нашей маленькой комнаты. Ёлка очень красивая,без запаха,не осыпается. Веточки  не для тяжелых игрушек.	star5	['елочка']	['Positive']	елочка	[]																
2021-12-20	Красивая, пушистая, не осыпается🥰	star5	[]	[]		[]																
2021-12-19	Ёлочка очень хорошая! Упакована в две коробки. Собрали и распрямили ветки за 5 минут.  Подставка надежная, ель прочно стоит на полу. Никакого химического запаха! На неделю поселили ель на лождии. Нарядим перед самым Новым годом. Большое спасибо за качественный товар и быструю доставку! Желаю всем здоровья, удачи и радости в Новом году!	star5	['Ёлочка', 'Подставка', 'товар', 'доставку']	['Positive', 'Positive', 'Positive', 'Positive']	Ёлочка, Подставка, товар, доставку	[{'text': 'две', 'start': 33, 'end': 37, 'tokens': ['▁две'], 'names': ['B-cardinal number'], 'filled': {'cardinal number'}}, {'text': '5 минут.', 'start': 76, 'end': 85, 'tokens': ['▁5', '▁минут', '.'], 'names': ['B-time', 'I-time', 'O'], 'filled': {'time'}}, {'text': 'неделю', 'start': 164, 'end': 171, 'tokens': ['▁неделю'], 'names': ['B-date'], 'filled': {'date'}}, {'text': 'самым Новым годом.', 'start': 209, 'end': 228, 'tokens': ['▁самым', '▁Новы', 'м', '▁год', 'ом', '.'], 'names': ['B-event', 'I-event', 'I-event', 'I-event', 'I-event', 'O'], 'filled': {'event'}}, {'text': 'Новом', 'start': 325, 'end': 331, 'tokens': ['▁Новом'], 'names': ['B-event'], 'filled': {'event'}}]			['неделю']	['две']			['самым Новым годом.', 'Новом']				['5 минут.']					
2021-12-18	Купили Ёлку, вскрыли коробку дома, а креплений для неё нет	star1	['креплений']	['Negative']	креплений	[{'text': 'Ёлку,', 'start': 6, 'end': 12, 'tokens': ['▁', 'Ё', 'лку', ','], 'names': ['O', 'B-product', 'O', 'O'], 'filled': {'product'}}]														['Ёлку,']		
2021-12-18	Елка просто мечта !!!Безумно красивая!спасибо большое !	star5	['Елка']	['Positive']	Елка	[]																
2021-12-18	Елка просто шикарная 🤍✨пушистая, качество на высоте 👍🏻абсолютно без запаха, не осыпается, как живая! Очень понравилась, спасибо ☃️	star5	['и', 'и л а']	['Positive', 'Positive']	и, и л а	[]																
2021-12-17	Прекрасная пушистая елка	star5	['елка']	['Positive']	елка	[]																
2021-12-17	Она идеальная!!! Даже пушистее чем живая! Долго выбирала эта самая самая! Спасибо продавцу и вайлдберриз!)	star5	['продавцу']	['Positive']	продавцу	[]																
2021-12-16	Самая лучшая елка. Очень похожа на живую	star5	['елка']	['Positive']	елка	[]																
2021-12-16	Ёлка просто супер 	star5	['Ёлка']	['Positive']	Ёлка	[]																
2021-12-15	Иногда забываю, что она не живая! Но не все ветки конечно настолько крепкие, что выдерживают любой декор. 	star5	['ветки', 'декор']	['Positive', 'Positive']	ветки, декор	[]																
2021-12-15	Пойдет не стоит своих денег 2000 максимум	star2	[]	[]		[{'text': '2000', 'start': 27, 'end': 32, 'tokens': ['▁2000'], 'names': ['B-cardinal number'], 'filled': {'cardinal number'}}]				['2000']												
2021-12-14	Как настоящая! Пышная, красивая, очень качественная! Просто в восторге)) Спасибо производителю за быструю доставку и качество 😊	star5	['доставку']	['Positive']	доставку	[]																
2021-12-14	Спасибо продавцу, тот случай, когда в хорошем смысле цена не соответствует качеству, она стоит все 5 тыс. 	star5	['продавцу', 'цена']	['Positive', 'Negative']	продавцу, цена	[{'text': 'все 5 тыс.', 'start': 94, 'end': 105, 'tokens': ['▁все', '▁5', '▁тыс', '.'], 'names': ['B-money', 'I-money', 'I-money', 'I-money'], 'filled': {'money'}}]								['все 5 тыс.']								
2021-12-14	Ёлочка отличная. Как настоящая! Пушистая, легко собирать. Без запаха.	star5	['Ёлочка']	['Positive']	Ёлочка	[]																
2021-12-14	Отличная елочка, пушистая, не сыпется.  Хорошо упакована. Спасибо!	star5	['елочка']	['Positive']	елочка	[]																
2021-12-13	Очень красивая ёлочка!) только не поняла винты для затяжки должны идти в комплекте или нет?	star5	['ёлочка', 'винты']	['Positive', 'Negative']	ёлочка, винты	[]																
2021-12-13	Замечательная ёлочка! Пушистая, похожа на живую. Нареканий к качеству нет. Хотели 180 см , но она очень долго висела в оформленных, и до сих пор висит. Заказали 150 см, пришла за два дня! Спасибо производителю!	star5	['ёлочка']	['Positive']	ёлочка	[{'text': '180 см', 'start': 81, 'end': 88, 'tokens': ['▁180', '▁см'], 'names': ['B-quantity', 'I-quantity'], 'filled': {'quantity'}}, {'text': '150 см,', 'start': 160, 'end': 168, 'tokens': ['▁150', '▁см', ','], 'names': ['B-quantity', 'I-quantity', 'O'], 'filled': {'quantity'}}, {'text': 'два дня!', 'start': 178, 'end': 187, 'tokens': ['▁два', '▁дня', '!'], 'names': ['B-date', 'I-date', 'O'], 'filled': {'date'}}]			['два дня!']		['180 см', '150 см,']											
2021-12-13	Елка просто бмбическая. В восторге все! Спасибо продавцц.	star5	['Елка', 'продавцц']	['Positive', 'Positive']	Елка, продавцц	[]																
2021-12-12	Доставка быстрая. Ёлка упакована хорошо.	star5	['Доставка', 'Ёлка']	['Positive', 'Positive']	Доставка, Ёлка	[]																
2021-12-11	Отличная пушистая елочка. Очень довольна	star5	['елочка']	['Positive']	елочка	[]																
2021-12-10	Очень классная, как живая🤩 	star5	[]	[]		[]																
2021-12-10	Собрала ёлку за 3 секунды) очень красивая, пушистая. Много веток, довольно упругие, игрушки выдержит. Нет запахов, немного осыпалась, но это единично. Ёлка реалестична, только хвоей не пахнет.	star5	['ёлку', 'веток', 'запахов']	['Positive', 'Positive', 'Neutral']	ёлку, веток, запахов	[{'text': '3 секунды)', 'start': 15, 'end': 26, 'tokens': ['▁3', '▁секунд', 'ы', ')'], 'names': ['B-time', 'I-time', 'I-time', 'O'], 'filled': {'time'}}]											['3 секунды)']					
2021-12-09	Необыкновенная елочка, очень красивая, как из леса, собирается на раз, устойчивая. Не пожалела времени потраченного на поиски этой красавицы! Спасибо!	star5	['елочка']	['Positive']	елочка	[]																
2021-12-09	Красивая, как настоящая. Рекомендую к покупке! 	star5	[]	[]		[]																
2021-12-08	Елка просто супер!!! Оочень . Выставила в инсту человек 5 спросили,  где я уже 8 декабря купила насточщую ёлку	star5	['Елка']	['Positive']	Елка	[{'text': '5', 'start': 55, 'end': 57, 'tokens': ['▁5'], 'names': ['B-cardinal number'], 'filled': {'cardinal number'}}, {'text': '8 декабря', 'start': 78, 'end': 88, 'tokens': ['▁8', '▁декабря'], 'names': ['B-date', 'I-date'], 'filled': {'date'}}]			['8 декабря']	['5']												
2021-12-08	Ёлочка очень даже достойная…двухцветная…есть маленький недочёт, но это не отражается на качестве и виде елки…для тяжёлых игрушек тонковаты ветки, но у меня получилось ее нарядить)))…вполне достойная ёлочка…рекомендую.	star5	[]	[]		[{'text': 'достойная...двухцветная...есть', 'start': 17, 'end': 44, 'tokens': ['▁до', 'стой', 'ная', '...', 'д', 'ву', 'х', 'цвет', 'ная', '...', 'есть'], 'names': ['O', 'O', 'O', 'O', 'B-cardinal number', 'B-cardinal number', 'O', 'O', 'O', 'O', 'O'], 'filled': {'cardinal number'}}]				['достойная...двухцветная...есть']												
2021-12-08	Спасибо за быструю доставку ,заказали 6 на следующий день привезли .Смотрится как живая ,без запаха ,легко собирается.Ещё не до конца распушили .На ютуб есть инструкция по сборке и как распушить ёлку 	star5	['доставку']	['Positive']	доставку	[{'text': '6', 'start': 37, 'end': 39, 'tokens': ['▁6'], 'names': ['B-cardinal number'], 'filled': {'cardinal number'}}]				['6']												
2021-12-07	Елка супер , очень понравилась , налюбоваться не можем . На фото ещё не до конца распушили )) Купили за 3200 спасибоооо☺️	star5	['л а']	['Positive']	л а	[{'text': '3200', 'start': 103, 'end': 108, 'tokens': ['▁3', '200'], 'names': ['B-money', 'B-money'], 'filled': {'money'}}]								['3200']								
2021-12-07	Отличная елка! Пушистая и густая. Без запаха. Вид «живой».  Ребенок сам собрал легко и быстро.  Приехала быстро, спасибо. 	star5	['елка']	['Positive']	елка	[]																
2021-12-07	Ожиданий не оправдала совсем… Наверное соответствует цене… честно сказать лысая, иголки плоские как нарезанная бумага… отказ… 	star3	['а л', 'а']	['Positive', 'Positive']	а л, а	[]																
2021-12-07	Красавица, как -будто из леса.	star5	[]	[]		[]																
2021-12-07	Ёлочка классная, 150 см,очень простая в сборке.Пришла в двойной коробке.Спасибо!	star5	['Ёлочка']	['Positive']	Ёлочка	[{'text': '150 см,очень', 'start': 16, 'end': 29, 'tokens': ['▁150', '▁см', ',', 'о', 'чень'], 'names': ['B-quantity', 'I-quantity', 'O', 'O', 'O'], 'filled': {'quantity'}}]					['150 см,очень']											
2021-12-07	Прелесть, даже ещё не до конца распушили.	star5	[]	[]		[]																
2021-12-07	"Елка хорошо запакована в 2е коробки.
При сборке чуть-чуть осыпались ""иголки"". Высота действительно 150см. Вид очень правдоподобно, смотрится красиво. Собирали не торопясь за 30 мин."	star5	['Елка', 'Вид']	['Positive', 'Positive']	Елка, Вид	[{'text': '2е', 'start': 24, 'end': 27, 'tokens': ['▁2', 'е'], 'names': ['B-cardinal number', 'O'], 'filled': {'cardinal number'}}, {'text': '150см.', 'start': 98, 'end': 105, 'tokens': ['▁150', 'см', '.'], 'names': ['B-quantity', 'I-quantity', 'O'], 'filled': {'quantity'}}, {'text': '30', 'start': 173, 'end': 176, 'tokens': ['▁30'], 'names': ['B-time'], 'filled': {'time'}}]				['2е']	['150см.']						['30']					
2021-12-06	Ёлочка замечательная, очень понравилась. Спасибо за быструю доставку.	star5	['Ёлочка', 'доставку']	['Positive', 'Positive']	Ёлочка, доставку	[]																
2021-12-05	Супер ёлка! Пушистая. Не сыпется. Лапки под весом больших игрушек могут провисать, нужно правильно расправлять. Но я в восторге от ёлки!!!!	star5	['ёлка']	['Positive']	ёлка	[]																
2021-12-05	Ёлочка шикарная. Трудно отличить от живой. Рекомендую!!!	star5	['Ёлочка']	['Positive']	Ёлочка	[]																
2021-12-05	Понравилась	star5	[]	[]		[]																
2021-12-04	"Оооочень красивая ёлка! 
Для сравнения, какая у нас была, и какая сейчас 😍 150 см за 3200 р стоят того!"	star5	['ёлка']	['Positive']	ёлка	[{'text': '150 см', 'start': 74, 'end': 81, 'tokens': ['▁150', '▁см'], 'names': ['B-quantity', 'I-quantity'], 'filled': {'quantity'}}, {'text': '3200 р', 'start': 84, 'end': 91, 'tokens': ['▁3', '200', '▁р'], 'names': ['B-money', 'B-money', 'I-money'], 'filled': {'money'}}]					['150 см']			['3200 р']								
2021-12-04	Елочка очень красивая , собралась быстро, пушистая , не осыпается . Спасибо производитель и валдберис за быструю доставку . 	star5	['Елочка', 'производитель', 'доставку']	['Positive', 'Positive', 'Positive']	Елочка, производитель, доставку	[]																
2021-12-01	Чудесная ёлочка! Очень пушистая, красивые веточки, есть схожесть с естественной живой ёлкой! Нет посторонних запахов,не осыпается. Собрала за 2 минуты,подставка устойчивая. Всё упаковано было хорошо. Спасибо за качественный товар!	star5	['ёлочка', 'веточки', 'подставка']	['Positive', 'Positive', 'Positive']	ёлочка, веточки, подставка	[{'text': '2 минуты,подставка', 'start': 141, 'end': 160, 'tokens': ['▁2', '▁минуты', ',', 'под', 'ставка'], 'names': ['B-time', 'I-time', 'O', 'O', 'O'], 'filled': {'time'}}]											['2 минуты,подставка']					
2021-11-30	быстрая доставка, очень много ветвей, не пахнет, нет голого ствола, хорошая подставка, простая сборка , все понравилось	star5	['доставка', 'ветвей', 'ствола', 'подставка', 'сборка']	['Positive', 'Positive', 'Positive', 'Positive', 'Positive']	доставка, ветвей, ствола, подставка, сборка	[]																
2021-11-30	Ёлочка супер, красивая,зелёная,пушистая , проплешин нет.Нам очень понравилась.	star5	['Ёлочка']	['Positive']	Ёлочка	[]																
2022-08-24	Ёлка пришла в целости. Понравилась. Положили 3 подарка, спасибо.	star5	['Ёлка']	['Positive']	Ёлка	[{'text': '3', 'start': 44, 'end': 46, 'tokens': ['▁3'], 'names': ['B-cardinal number'], 'filled': {'cardinal number'}}]				['3']												
